LIST    
TRIGGER 10  
DEBUG 0 0 1 
SWIT 1 2    
SETS 'DRFT' 
END 
   14   
  0.4378 -0.0045  2.300613  
 -0.5821  0.1841  0.868513  
 -0.4349 -0.0148  0.738514  
  0.4291  0.1618  0.346414  
 -0.5418 -0.0193  2.720513  
  0.3770 -0.0037  0.842314  
  0.5825 -0.1207  0.132613  
 -0.2316  0.0453  1.198014  
  0.0430  0.0185  0.213614  
 -0.7536  0.0243  0.140214  
 -0.0772  0.0305  0.401714  
 -0.5071 -0.0813  0.1786 8  
  0.3444  0.0529  0.5787 8  
 -0.1724  0.0060  0.1471 7  
   19   
 -0.7748 -0.2270  2.907613  
 -0.1614 -0.0649  0.480313  
  0.2609 -0.0425  0.107114  
  0.5167 -0.0083  2.721613  
 -0.3553  0.0345  0.084014  
 -0.2974 -0.0639  0.916514  
  0.4621 -0.2127  2.869514  
  0.2454  0.0240  0.784813  
 -0.4153 -0.0752  0.433713  
  0.7705  0.2647  1.488613  
  0.5251 -0.1539  0.292713  
 -0.9955  0.3666  2.376313  
 -0.1600  0.0145  0.2967 8  
  0.1482 -0.0560  0.2513 8  
  0.1924 -0.0444  0.5281 7  
  0.1671  0.0665  0.2883 9  
 -0.2636  0.0587  1.4432 7  
  0.1229 -0.0118  0.1158 8  
 -0.1066 -0.0275  0.2865 9  
   17   
 -0.3216  0.0526  1.619214  
 -0.6685  0.1749  2.682814  
  0.8363 -0.2724  1.934413  
 -0.5160 -0.0709  2.734613  
  0.1675  0.0599  0.194114  
  0.4886 -0.1133  0.107314  
 -0.7109  0.0716  0.173014  
  0.4575 -0.0628  1.581114  
  0.5394  0.0167  2.496613  
 -0.6139 -0.2548  1.911013  
  0.2867 -0.0963  0.691213  
 -0.6873  0.2783  0.701914  
  0.4502  0.1574  0.232313  
  0.4223 -0.1165  0.3646 9  
  0.2815  0.0183  1.5609 7  
  0.1020 -0.0218  0.3980 8  
 -0.1770  0.0587  0.7353 8  
   11   
 -0.3993  0.0134  0.357114  
  0.1846 -0.0466  0.579214  
 -0.7858 -0.2743  3.293213  
  0.2280  0.0038  0.034513  
 -0.2728  0.0743  0.136514  
  0.1249  0.0066  0.2863 8  
 -0.0962  0.0447  0.0458 7  
  0.1398 -0.0117  0.4812 8  
  0.3510  0.1501  1.1456 7  
  0.3006 -0.0179  0.8242 8  
 -0.1701 -0.0144  0.4544 8  
   14   
 -0.3490  0.0085  0.242013  
 -0.4213 -0.1805  1.417514  
  0.7884  0.0679  1.993913  
 -0.4438  0.1291  0.498214  
  0.6993  0.2907  2.961514  
  0.4311  0.0732  1.445114  
 -0.2556  0.0467  0.381813  
 -0.1482  0.0284  0.225114  
  0.2492  0.0183  0.518713  
 -0.3086  0.0148  0.0424 9  
 -0.6979 -0.2030  0.9139 7  
 -0.1480 -0.0229  0.0187 9  
 -0.1145 -0.0331  0.0582 8  
 -0.1161  0.0434  0.2278 7  
   16   
 -0.5918  0.2329  0.731914  
  0.3345 -0.0355  0.532414  
 -0.4588  0.0480  1.887513  
 -1.2547 -0.1789  1.974613  
